id,key,value,type
5677529,name_direction_prefix,W,tiger
5677820,source,Bing,regular
5677820,highway,service,regular
5677820,service,driveway,regular
5678154,name,Gilmore Court,regular
5678154,highway,residential,regular
5678154,cfcc,A41,tiger
5678154,tlid,59091272,tiger
5678154,county,"Kings, NY",tiger
5678154,source,tiger_import_dch_v0.6_20070829,tiger
5678154,reviewed,no,tiger
5678154,zip_left,11235,tiger
5678154,name_base,Gilmore,tiger
5678154,name_type,Ct,tiger
5678154,separated,no,tiger
5678154,zip_right,11235,tiger
5678154,upload_uuid,bulk_upload.pl-8a1a8f82-26aa-4f15-b5fe-a7476c89e45e,tiger
5678382,name,96th Street,regular
5678382,highway,residential,regular
5678382,cfcc,A41,tiger
5678382,county,"Kings, NY",tiger
5678382,reviewed,no,tiger
5678382,zip_left,11209,tiger
5678382,name_base,96th,tiger
5678382,name_type,Street,tiger
5678382,zip_right,11209,tiger
5678643,name,Green Street,regular
5678643,highway,residential,regular
5678643,cfcc,A41,tiger
5678643,tlid,59102835,tiger
5678643,county,"Kings, NY",tiger
5678643,source,tiger_import_dch_v0.6_20070829,tiger
5678643,reviewed,no,tiger
5678643,name_base,Greenstreet,tiger
5678643,separated,no,tiger
5678643,upload_uuid,bulk_upload.pl-8a1a8f82-26aa-4f15-b5fe-a7476c89e45e,tiger
5678981,highway,residential,regular
5678981,name,Bay 41st Street,regular
5678981,surface,asphalt,regular
5678981,cfcc,A41,tiger
5678981,county,"Kings, NY",tiger
5678981,name_base,Bay 41st,tiger
5678981,name_type,Street,tiger
5678981,reviewed,no,tiger
5678981,separated,no,tiger
5678981,source,tiger_import_dch_v0.6_20070829,tiger
5678981,tlid,59099179,tiger
5678981,upload_uuid,bulk_upload.pl-8a1a8f82-26aa-4f15-b5fe-a7476c89e45e,tiger
5678981,zip_left,11214,tiger
5679354,name,Christopher Avenue,regular
5679354,highway,residential,regular
5679354,cfcc,A41,tiger
5679354,county,"Kings, NY",tiger
5679354,reviewed,no,tiger
5679354,zip_left,11212,tiger
5679354,name_base,Christopher,tiger
5679354,name_type,Avenue,tiger
5679354,zip_right,11212,tiger
5679605,name,Blake Avenue,regular
5679605,highway,residential,regular
5679605,zip_left,11208,tiger
5679605,zip_right,11208,tiger
5679844,name,Colonial Road,regular
5679844,bicycle,yes,regular
5679844,highway,residential,regular
5679844,surface,asphalt,regular
5679844,right,lane,cycleway
5679844,zip_left,11209,tiger
5679844,zip_right,11209,tiger
5680135,name,Strickland Avenue,regular
5680135,oneway,-1,regular
5680135,highway,residential,regular
5680420,name,4th Street,regular
5680420,oneway,yes,regular
5680420,highway,residential,regular
5680420,cfcc,A41,tiger
5680420,tlid,59075542:59075546,tiger
5680420,county,"Kings, NY",tiger
5680420,source,tiger_import_dch_v0.6_20070829,tiger
5680420,reviewed,no,tiger
5680420,zip_left,11231,tiger
5680420,name_base,4th,tiger
5680420,name_type,Street,tiger
5680420,separated,no,tiger
5680420,zip_right,11231,tiger
5680420,upload_uuid,bulk_upload.pl-8a1a8f82-26aa-4f15-b5fe-a7476c89e45e,tiger
5680674,name,Westshore Avenue,regular
5680674,highway,residential,regular
5680674,surface,dirt,regular
