id,key,value,type
158809551,County_num,025,gnis
158814210,ele,30,regular
158814210,name,Gillilandtown,regular
158814210,is_in,"Middlesex,New Jersey,N.J.,NJ,USA",regular
158814210,place,hamlet,regular
158814210,id,876613,gnis
158814210,Class,Populated Place,gnis
158814210,County,Middlesex,gnis
158814210,ST_num,34,gnis
158814210,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
158814210,ST_alpha,NJ,gnis
158814210,County_num,023,gnis
158821562,ele,3,regular
158821562,name,South Glenwood Landing,regular
158821562,is_in,"Nassau,New York,N.Y.,NY,USA",regular
158821562,place,hamlet,regular
158821562,id,973094,gnis
158821562,Class,Populated Place,gnis
158821562,County,Nassau,gnis
158821562,ST_num,36,gnis
158821562,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
158821562,ST_alpha,NY,gnis
158821562,County_num,059,gnis
158837398,ele,66,regular
158837398,name,Fairview,regular
158837398,is_in,"Westchester,New York,N.Y.,NY,USA",regular
158837398,place,hamlet,regular
158837398,id,949824,gnis
158837398,Class,Populated Place,gnis
158837398,County,Westchester,gnis
158837398,ST_num,36,gnis
158837398,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
158837398,ST_alpha,NY,gnis
158837398,County_num,119,gnis
158844406,ele,16,regular
158844406,Class,Populated Place,gnis
158844406,County,Bergen,gnis
158844406,County_num,003,gnis
158844406,id,874370,gnis
158844406,ST_alpha,NJ,gnis
158844406,ST_num,34,gnis
158844406,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
158844406,is_in,"Bergen,New Jersey,N.J.,NJ,USA",regular
158844406,name,Arcola,regular
158844406,place,hamlet,regular
158844406,wikidata,Q19600217,regular
158853392,ele,26,regular
158853392,Class,Populated Place,gnis
158853392,County,Bergen,gnis
158853392,County_num,003,gnis
158853392,id,2057236,gnis
158853392,ST_alpha,NJ,gnis
158853392,ST_num,34,gnis
158853392,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
158853392,is_in,"Bergen,New Jersey,N.J.,NJ,USA",regular
158853392,name,West Norwood,regular
158853392,place,hamlet,regular
158853392,wikidata,Q22060959,regular
158857952,ele,28,regular
158857952,name,Greenwich,regular
158857952,is_in,"Fairfield,Connecticut,Conn.,CT,USA",regular
158857952,place,town,regular
158857952,id,207503,gnis
158857952,wikidata,Q49202,regular
158857952,Class,Populated Place,gnis
158857952,population,62077,regular
158857952,County,Fairfield,gnis
158857952,ST_num,09,gnis
158857952,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
158857952,ST_alpha,CT,gnis
158857952,County_num,001,gnis
158857952,population,62077;2006,census
158862871,ele,37,regular
158862871,name,New Durham,regular
158862871,is_in,"Middlesex,New Jersey,N.J.,NJ,USA",regular
158862871,place,hamlet,regular
158862871,id,878731,gnis
158862871,Class,Populated Place,gnis
158862871,County,Middlesex,gnis
158862871,ST_num,34,gnis
158862871,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
158862871,ST_alpha,NJ,gnis
158862871,County_num,023,gnis
158874245,ele,8,regular
158874245,name,Elmhurst,regular
158874245,is_in,"Queens,New York,N.Y.,NY,USA",regular
158874245,place,neighbourhood,regular
158874245,id,949575,gnis
158874245,wikidata,Q2180242,regular
158874245,Class,Populated Place,gnis
158874245,County,Queens,gnis
158874245,ST_num,36,gnis
158874245,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
158874245,ST_alpha,NY,gnis
158874245,County_num,081,gnis
158905768,ele,38,regular
158905768,name,Robinvale,regular
158905768,is_in,"Middlesex,New Jersey,N.J.,NJ,USA",regular
158905768,place,neighbourhood,regular
158905768,id,882983,gnis
158905768,wikidata,Q20657704,regular
158905768,Class,Populated Place,gnis
158905768,County,Middlesex,gnis
158905768,ST_num,34,gnis
158905768,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
158905768,ST_alpha,NJ,gnis
158905768,County_num,023,gnis
213501444,highway,traffic_signals,regular
213507216,highway,turning_circle,regular
213586164,highway,turning_circle,regular
213616987,highway,turning_circle,regular
213695736,highway,turning_circle,regular
213790839,highway,turning_circle,regular
214008397,highway,turning_circle,regular
214310851,highway,turning_circle,regular
214352137,highway,turning_circle,regular
235067652,created_by,JOSM,regular
235075644,created_by,JOSM,regular
243381758,created_by,JOSM,regular
243390546,created_by,JOSM,regular
243391366,created_by,JOSM,regular
243407381,created_by,JOSM,regular
243410036,created_by,JOSM,regular
243462499,created_by,JOSM,regular
243524999,created_by,JOSM,regular
243525475,created_by,JOSM,regular
243525952,created_by,Merkaartor 0.12,regular
243526242,created_by,Merkaartor 0.12,regular
246649343,crossing,traffic_signals,regular
246649343,highway,crossing,regular
247119785,highway,traffic_signals,regular
251074549,created_by,Merkaartor 0.12,regular
254115910,highway,traffic_signals,regular
254159015,ref,12,regular
254159015,highway,motorway_junction,regular
254200073,highway,traffic_signals,regular
254776948,highway,turning_circle,regular
254806123,highway,turning_circle,regular
254838340,highway,turning_circle,regular
254859314,highway,turning_circle,regular
257267727,created_by,JOSM,regular
261371558,source,Bing,regular
261371558,highway,turning_circle,regular
261371664,highway,traffic_signals,regular
261376571,highway,turning_circle,regular
261393945,noexit,yes,regular
261411088,highway,turning_circle,regular
261429111,highway,traffic_signals,regular
261430048,highway,turning_circle,regular
261434912,name,Baldwin,regular
261434912,train,yes,regular
261434912,network,Long Island Rail Road,regular
261434912,operator,Long Island Rail Road,regular
261434912,public_transport,stop_position,regular
261459368,highway,turning_circle,regular
261460241,highway,turning_circle,regular
261464093,highway,traffic_signals,regular
261487679,highway,turning_circle,regular
261502416,highway,turning_circle,regular
276213669,highway,traffic_signals,regular
277481443,highway,motorway_junction,regular
277481443,noref,yes,regular
277481443,ref,Exit 46,regular
277743735,exit_to,South Cargo Road; Return to Terminals; Cargo Areas; Rental Car Returns; Long Term Parking,regular
277743735,highway,motorway_junction,regular
293825183,ref,53,regular
293825183,highway,motorway_junction,regular
294062895,created_by,Merkaartor 0.11,regular
294992406,created_by,Merkaartor 0.12,regular
295802782,created_by,Merkaartor 0.11,regular
296435255,city,Hoboken,addr
296435255,created_by,Merkaartor 0.11,regular
296435255,street,Jackson St,addr
296435255,housenumber,133,addr
296568166,city,Hoboken,addr
296568166,created_by,Merkaartor 0.12,regular
296568166,street,Hudson St,addr
296568166,housenumber,86,addr
296859427,created_by,Merkaartor 0.11,regular
297110070,created_by,Merkaartor 0.11,regular
297680510,highway,crossing,regular
297929685,exit_to,Jersey City,regular
297929685,highway,motorway_junction,regular
298519842,created_by,Merkaartor 0.12,regular
298520605,created_by,Merkaartor 0.12,regular
298936317,created_by,Merkaartor 0.12,regular
299199756,created_by,Merkaartor 0.12,regular
299622997,created_by,Merkaartor 0.12,regular
299626286,created_by,Merkaartor 0.12,regular
300563945,created_by,Merkaartor 0.12,regular
300852666,created_by,Merkaartor 0.12,regular
300853345,created_by,Merkaartor 0.12,regular
301356761,created_by,Merkaartor 0.12,regular
301497528,created_by,Merkaartor 0.12,regular
301497628,created_by,Merkaartor 0.12,regular
301497901,created_by,Merkaartor 0.12,regular
301498263,created_by,Merkaartor 0.12,regular
301498630,created_by,Merkaartor 0.12,regular
301910109,created_by,Merkaartor 0.12,regular
301910304,created_by,Merkaartor 0.12,regular
302104897,created_by,Merkaartor 0.12,regular
302128293,created_by,Merkaartor 0.12,regular
302130165,created_by,Merkaartor 0.12,regular
302149294,created_by,Merkaartor 0.12,regular
302152899,created_by,Merkaartor 0.12,regular
302153908,created_by,Merkaartor 0.12,regular
302155157,created_by,Merkaartor 0.12,regular
302245310,created_by,Merkaartor 0.12,regular
302257711,created_by,Merkaartor 0.12,regular
302743658,created_by,Merkaartor 0.12,regular
305499239,city,Hoboken,addr
305499239,created_by,Merkaartor 0.12,regular
305499239,street,Madison St,addr
305499239,housenumber,601,addr
305536519,created_by,Merkaartor 0.12,regular
305556438,created_by,Merkaartor 0.12,regular
305556438,housenumber,933,addr
305558392,created_by,Merkaartor 0.12,regular
305558392,housenumber,1233,addr
308506728,created_by,Merkaartor 0.12,regular
315336451,created_by,Merkaartor 0.12,regular
315532968,created_by,Merkaartor 0.12,regular
